,date,region,confirmed,active,cured,deaths
0,27-03-2020,Andaman and Nicobar Islands,1,1,0,0
1,28-03-2020,Andaman and Nicobar Islands,6,6,0,0
2,29-03-2020,Andaman and Nicobar Islands,9,9,0,0
3,30-03-2020,Andaman and Nicobar Islands,9,9,0,0
4,31-03-2020,Andaman and Nicobar Islands,10,10,0,0
5,01-04-2020,Andaman and Nicobar Islands,10,10,0,0
6,02-04-2020,Andaman and Nicobar Islands,10,10,0,0
7,03-04-2020,Andaman and Nicobar Islands,10,10,0,0
8,04-04-2020,Andaman and Nicobar Islands,10,10,0,0
9,05-04-2020,Andaman and Nicobar Islands,10,10,0,0
10,06-04-2020,Andaman and Nicobar Islands,10,10,0,0
11,07-04-2020,Andaman and Nicobar Islands,10,10,0,0
12,08-04-2020,Andaman and Nicobar Islands,10,10,0,0
13,09-04-2020,Andaman and Nicobar Islands,11,11,0,0
14,10-04-2020,Andaman and Nicobar Islands,11,11,0,0
15,11-04-2020,Andaman and Nicobar Islands,11,11,0,0
16,12-04-2020,Andaman and Nicobar Islands,11,1,10,0
17,13-04-2020,Andaman and Nicobar Islands,11,1,10,0
18,14-04-2020,Andaman and Nicobar Islands,11,1,10,0
19,15-04-2020,Andaman and Nicobar Islands,11,1,10,0
20,16-04-2020,Andaman and Nicobar Islands,11,1,10,0
21,17-04-2020,Andaman and Nicobar Islands,11,1,10,0
22,18-04-2020,Andaman and Nicobar Islands,12,1,11,0
23,19-04-2020,Andaman and Nicobar Islands,14,3,11,0
24,20-04-2020,Andaman and Nicobar Islands,15,4,11,0
25,21-04-2020,Andaman and Nicobar Islands,16,5,11,0
26,22-04-2020,Andaman and Nicobar Islands,16,5,11,0
27,23-04-2020,Andaman and Nicobar Islands,18,7,11,0
28,24-04-2020,Andaman and Nicobar Islands,22,11,11,0
29,25-04-2020,Andaman and Nicobar Islands,27,16,11,0
30,26-04-2020,Andaman and Nicobar Islands,33,22,11,0
31,27-04-2020,Andaman and Nicobar Islands,33,22,11,0
32,28-04-2020,Andaman and Nicobar Islands,33,22,11,0
