order,name,height(cm)
16,Abraham Lincoln,193
7,Andrew Jackson,185
17,Andrew Johnson,178
44,Barack Obama,
23,Benjamin Harrison,168
42,Bill Clinton,188
30,Calvin Coolidge,178
21,Chester A. Arthur,183
34,Dwight D. Eisenhower,179
32,Franklin D. Roosevelt,188
14,Franklin Pierce,
41,George H. W. Bush,188
43,George W. Bush,182
1,George Washington,189
38,Gerald Ford,
33,Harry S. Truman,175
31,Herbert Hoover,182
20,James A. Garfield,
15,James Buchanan,183
11,James K. Polk,173
4,James Madison,163
5,James Monroe,183
39,Jimmy Carter,177
2,John Adams,170
35,John F. Kennedy,
6,John Quincy Adams,171
10,John Tyler,183
36,Lyndon B. Johnson,193
8,Martin Van Buren,168
13,Millard Fillmore,175
37,Richard Nixon,182
40,Ronald Reagan,185
19,Rutherford B. Hayes,174
26,Theodore Roosevelt,178
3,Thomas Jefferson,189
18,Ulysses S. Grant,173
29,Warren G. Harding,183
9,William Henry Harrison,173
27,William Howard Taft,182
25,William McKinley,170
28,Woodrow Wilson,180
12,Zachary Taylor,173
